MAV_1,WL_1,label
1.210626090312738e-07,6.209148655976546e-07,1
1.6039610623979886e-07,8.534779296456124e-07,1
1.707744493924632e-07,9.82129625731832e-07,1
9.128309001580527e-08,4.7064284079532086e-07,1
9.406373628885254e-08,5.189085007500052e-07,1
8.371523774088191e-08,9.7269376001331e-07,1
7.004636293771126e-08,9.768315727231521e-07,1
8.010492417733461e-08,6.12889601859875e-07,1
5.7532848121729495e-08,4.282941149601378e-07,1
4.459179756028098e-08,4.484931127995523e-07,1
7.760070515823936e-08,3.057179372615314e-07,1
5.939646208609459e-08,2.5968013598292474e-07,1
5.7192621209747106e-08,6.965528833403388e-07,1
7.264727601899933e-08,8.545905361603874e-07,1
3.20338902152274e-08,4.0426068718617165e-07,1
5.450967718671755e-08,3.6845907251198285e-07,1
9.979456995563363e-08,7.042163411646089e-07,1
1.0767629755831777e-07,7.312808252986438e-07,1
1.012748971994191e-07,4.2622280428424617e-07,1
7.243188242078557e-08,4.251254295956813e-07,1
5.198499879919727e-08,6.301359625060102e-07,1
8.116570928097708e-08,5.060634438787177e-07,1
9.954783701868899e-08,4.4730023950098664e-07,1
7.698659393857469e-08,3.772530405869345e-07,1
1.7485428099841014e-07,7.900473710570213e-07,1
3.05409010935592e-07,1.8254573689949152e-06,1
2.636443315947611e-07,1.5928085605588814e-06,1
2.6106117763686694e-07,1.6558811014286995e-06,1
2.005921782897027e-07,1.4803766755855124e-06,1
4.7680313346239465e-08,3.87411396832062e-07,1
3.964918756711496e-08,4.6631517064666673e-07,1
5.989650708526964e-08,6.094747677708965e-07,1
7.340994958938122e-08,7.715343906112582e-07,1
7.816839967569492e-08,9.159509531387644e-07,1
6.13583881414114e-08,6.901889875598108e-07,1
5.361374009815099e-08,5.875645419030402e-07,1
7.598437999267239e-08,6.917057866499677e-07,1
7.87294818805083e-08,7.420845093820688e-07,1
6.361260023946628e-08,6.058471335413751e-07,1
6.538981189305591e-08,5.329112458182034e-07,1
5.1844726497025855e-08,4.811450610628048e-07,1
5.805080368585023e-08,6.197404526027103e-07,1
6.084056791939156e-08,5.759970613636548e-07,1
3.372351518064484e-08,2.4423229694559145e-07,1
4.288255782270178e-08,2.0762101850534085e-07,1
6.369449674997834e-08,4.2550839482259086e-07,1
8.249298670236755e-08,8.49232068355692e-07,1
8.609012582954883e-08,9.80922063806457e-07,1
5.1470312291223265e-08,6.169194402629554e-07,1
4.040033375892863e-08,3.7420409714635447e-07,1
5.0927664780451654e-08,4.5961472675233955e-07,1
5.5576631140292254e-08,5.818350652648023e-07,1
7.473064451208485e-08,7.041961302188559e-07,1
6.911151125461704e-08,5.622077646652383e-07,1
4.995939698080454e-08,4.923576517841492e-07,1
7.315899170135292e-08,4.957225897372778e-07,1
6.420024166933486e-08,3.660353324786363e-07,1
4.7912248947519065e-08,4.888201888000413e-07,1
4.2273260143869354e-08,5.410871674607862e-07,1
5.286659075117117e-08,6.056350683076294e-07,1
5.8062586270522566e-08,5.019814045901968e-07,1
4.37971650048665e-08,4.578912773448054e-07,1
6.141146840359641e-08,5.437961612906089e-07,1
6.079801758390015e-08,5.484341004585654e-07,1
5.0222972862969134e-08,5.180973728640286e-07,1
4.4722586002162736e-08,3.257133467924852e-07,1
5.162312971517461e-08,3.5391570153665176e-07,1
6.529869836915245e-08,4.7671786911990423e-07,1
4.291397469439875e-08,4.292440610978983e-07,1
5.338702185849016e-08,5.121191224613302e-07,1
5.8054828955010634e-08,5.149013502466274e-07,1
4.16596604335554e-08,3.5969852280164067e-07,1
5.679680073656951e-08,3.7793898051536646e-07,1
6.419510959940525e-08,3.3384141024327655e-07,1
5.720669611770164e-08,2.920403136321445e-07,1
5.791044096044632e-08,5.046868854779014e-07,1
6.007118560482145e-08,5.780812806773992e-07,1
4.282619903692363e-08,3.4348787237914457e-07,1
4.568549587471996e-08,4.629483706811765e-07,1
5.028981238153772e-08,4.792239693621725e-07,1
3.6963193045179656e-08,3.566100684088252e-07,1
4.1653278187346355e-08,3.971582825462807e-07,1
5.7546427071046806e-08,4.096188958627973e-07,1
4.5042638642314724e-08,3.5781657032055185e-07,1
2.112508838899822e-08,2.3327402693067646e-07,1
2.3854715099354767e-08,2.993083776093066e-07,1
3.3889844776783003e-08,4.335301268453021e-07,1
5.62317324900321e-08,5.406309992745107e-07,1
6.219031118247617e-08,5.530801754351517e-07,1
5.577731832558855e-08,4.870217095530205e-07,1
7.541997275074268e-08,3.4997689951496e-07,1
7.748551853226134e-08,3.0770901964169425e-07,1
6.442709330135651e-08,2.834813603837411e-07,1
3.4657164955490245e-08,2.0029458187287962e-07,1
1.673434244550957e-08,2.2651999419464825e-07,1
3.681526672832873e-08,2.6671399691657157e-07,1
7.370114396773074e-08,3.549678739857944e-07,1
6.220188141534443e-08,3.042004290351795e-07,1
8.472346404692097e-08,3.219968943861835e-07,1
1.4321986170620475e-07,3.8015943593106137e-07,1
1.8093912240665845e-07,3.599676964189054e-07,1
2.386338320444449e-07,3.780518272388869e-07,1
3.219223731144394e-07,4.330076818570056e-07,1
3.5010222599228276e-07,5.342708866728222e-07,1
2.1297762032689793e-07,5.941991744068979e-07,1
1.1247312479993227e-07,5.601437536223258e-07,1
2.3693091404444538e-07,4.6211144463231904e-07,1
5.050770286182087e-07,5.533297989661355e-07,1
8.202946805438118e-07,8.625213234426454e-07,1
6.768971006052321e-07,1.4527615364552719e-06,1
5.501904865146272e-07,2.2765916731030044e-06,1
3.2923738743698746e-06,3.827492631520757e-06,0
5.075144648860181e-06,3.2093315833794816e-06,0
5.811956645002617e-06,2.0765166360084974e-05,0
1.0305438958072065e-05,9.249504618918963e-05,0
2.4123491765320267e-05,0.00019177863168823268,0
2.265624844537769e-05,0.000180408081006473,0
1.419827280905466e-05,0.0001277272204368358,0
1.7514950291855408e-05,0.00018976930015468052,0
1.4556050436121966e-05,0.0001967811222602236,0
1.236753693955717e-05,0.00013651303475725304,0
1.7875279145213266e-05,0.00018131456753131255,0
1.7499981924153247e-05,0.00019130243489569795,0
1.3617656315062017e-05,0.0001439597115129246,0
1.179075136293352e-05,0.00012980423055218945,0
9.859716289098652e-06,0.00010348221962435879,0
1.0613971605421835e-05,0.00011245608908980623,0
9.513719117143309e-06,0.00011127590963638136,0
7.65699594418691e-06,9.75373968318286e-05,0
6.227285025103973e-06,9.085577690395432e-05,0
4.240450646649097e-06,5.9503761826268806e-05,0
3.2913653511041013e-06,4.29636073307096e-05,0
3.2641787288754813e-06,4.206370506600982e-05,0
3.3170640521133428e-06,5.033491109821816e-05,0
3.82956247800415e-06,5.374740118844077e-05,0
4.35732771741186e-06,5.403628426382451e-05,0
3.894978949417148e-06,4.690520435224952e-05,0
3.7595385048823475e-06,4.889551663304819e-05,0
3.4775386445891328e-06,4.8994678718811465e-05,0
4.043908817003766e-06,5.415386842616274e-05,0
3.913398359782863e-06,5.401393845662937e-05,0
3.889732403224368e-06,5.408704622640974e-05,0
5.088465123441459e-06,6.523500773749526e-05,0
4.354520166535334e-06,5.313660075267558e-05,0
3.6985468385366577e-06,3.7030852159939275e-05,0
3.400898828521745e-06,3.1806585156323393e-05,0
3.276278450242349e-06,3.257465573247072e-05,0
3.8119580795258285e-06,3.612097886400887e-05,0
2.9394603649623063e-06,2.6199144200298747e-05,0
2.380609125222212e-06,2.1595340050622015e-05,0
3.624011005805939e-06,4.203861712154073e-05,0
3.1172806698246898e-06,4.5371338023242016e-05,0
2.5544535031592437e-06,3.718856325378007e-05,0
3.2335045905158752e-06,4.7508919295556535e-05,0
2.66764502821308e-06,4.252695331669699e-05,0
1.965538224014097e-06,2.594399250822146e-05,0
1.5985807820525472e-06,1.6865474073993277e-05,0
1.743450768917255e-06,1.423105497971299e-05,0
3.2394926833626054e-06,3.4854014974333394e-05,0
4.554449659603823e-06,4.5560483734159544e-05,0
3.908342150240919e-06,3.687156625356277e-05,0
3.7177257785984175e-06,3.2794642953873124e-05,0
5.244887196145194e-06,5.3802980602943434e-05,0
3.933565676611517e-06,5.510637761273037e-05,0
1.467560505453856e-06,2.5685151264626024e-05,0
1.1067291404835696e-06,1.711780074644756e-05,0
1.1911356097837433e-06,1.6808477770060492e-05,0
1.5883621782656383e-06,2.112390792418955e-05,0
1.9209270576107437e-06,2.6294055336641135e-05,0
2.5997527569674626e-06,3.2478848223429886e-05,0
3.3626916900220294e-06,3.8907475505957646e-05,0
3.5672696962609686e-06,3.602399548722152e-05,0
6.180924780853294e-06,5.9709442422887504e-05,0
8.001446020132994e-06,9.147335981856634e-05,0
5.145721848135728e-06,6.199093796464262e-05,0
3.395133417278799e-06,4.743434763606509e-05,0
4.029072442189571e-06,6.129741469100588e-05,0
4.926987350992249e-06,5.888772908979335e-05,0
6.530785761457967e-06,7.031863645527578e-05,0
5.562935885485147e-06,6.236861919883856e-05,0
3.44232722533564e-06,4.028963858737627e-05,0
3.214174888876844e-06,3.674023215148926e-05,0
2.4137844306613427e-06,3.0124526549935013e-05,0
2.965775113349315e-06,3.877651559494751e-05,0
2.9047104294635955e-06,3.4177534598674683e-05,0
1.4732633624662351e-06,1.6397198158111392e-05,0
1.9052614069680341e-06,3.093123228770431e-05,0
4.2200340816830276e-06,5.010180745171695e-05,0
5.007121209578852e-06,5.378735388713999e-05,0
4.3793255545465115e-06,4.810487088120066e-05,0
3.3606977435298257e-06,3.041433221136962e-05,0
4.011469227013897e-06,4.0538911191499725e-05,0
5.682045409320705e-06,6.867787306055038e-05,0
5.419860853197882e-06,5.382199023963973e-05,0
5.032652584229727e-06,5.0324408756053305e-05,0
4.588422695751588e-06,5.872750115386324e-05,0
4.630726227774842e-06,4.465997650691428e-05,0
4.72745633481025e-06,4.825263491246073e-05,0
3.2672237961481183e-06,4.249007574601758e-05,0
4.099782327074302e-06,4.3275075077173165e-05,0
4.37671103929947e-06,4.574157388335403e-05,0
2.0235042090248e-06,2.6146939244057035e-05,0
3.551100973799657e-06,4.4516173800598335e-05,0
5.500157501695205e-06,6.800675267432492e-05,0
5.874393237327587e-06,6.0750932546127985e-05,0
7.250530594804617e-06,7.190241021789652e-05,0
7.20987896526311e-06,7.088157607959821e-05,0
7.403624310919499e-06,7.46835467816643e-05,0
7.4033037215427755e-06,7.625949099997531e-05,0
8.127873935372146e-06,8.965106209477493e-05,0
8.758179369182752e-06,9.879247169290113e-05,0
5.0855145285984525e-06,5.339202852066762e-05,0
4.2402180043586365e-06,5.4082687861516514e-05,0
8.469395792606017e-06,9.759317841748086e-05,0
7.880079965520671e-06,8.958012025601074e-05,0
6.2310303845486845e-06,7.165119776827265e-05,0
5.508707573989442e-06,6.317331278347309e-05,0
3.4218242902151754e-06,4.124384871549071e-05,0
4.184643420877044e-06,3.893098310723629e-05,0
4.253249585127093e-06,4.17943726292205e-05,0
4.936776952956673e-06,4.995797630449994e-05,0
4.731847428419174e-06,4.726518229096161e-05,0
4.137151180937495e-06,3.668035402576412e-05,0
4.181328088430163e-06,4.155136513924701e-05,0
3.723862452957201e-06,4.616157601406715e-05,0
2.62967396451815e-06,3.0205484961448986e-05,0
2.074160017377421e-06,2.6414864775165642e-05,0
3.094450935739718e-06,4.044387973681218e-05,0
4.855697971450483e-06,4.5925300833044495e-05,0
5.920610858376419e-06,5.605552683620794e-05,0
5.240430535953049e-06,5.2794158796123396e-05,0
4.27755096084158e-06,4.3107381399864245e-05,0
2.958267700284488e-06,3.574725381100624e-05,0
4.389751540233193e-06,5.3445600882513465e-05,0
5.955320004700164e-06,6.489170857649365e-05,0
3.582630212327317e-06,3.5617895987144e-05,0
2.1724780049008003e-06,2.1923629822060038e-05,0
3.2891948790609363e-06,3.370581190254966e-05,0
5.3485650816866885e-06,5.1490047744647635e-05,0
7.2072224913690435e-06,7.229572144508822e-05,0
7.055817473803553e-06,7.26319821560579e-05,0
6.712033284971296e-06,7.162975759252238e-05,0
7.529162920162731e-06,0.00010008242286117387,0
1.2234318232865742e-05,0.00015519178769723442,0
1.4128025318099113e-05,0.0002115792274734092,0
1.3721554813221627e-05,0.00019782338967671914,0
1.2750077556319365e-05,0.00012965171674237852,0
7.780418401641428e-06,9.842224377000363e-05,0
6.999249702769392e-06,0.0001097701839104266,0
8.148463647493696e-06,0.00011175438596069282,0
6.408845372421015e-06,8.957739832375904e-05,0
5.84016751584113e-06,9.306632712624189e-05,0
9.832987411301002e-06,0.00012537751282871794,0
1.5157434805519523e-05,0.000174054212082378,0
1.7985383009865873e-05,0.00019421640595662274,0
1.646231217818809e-05,0.0001392207166998374,0
1.2261517769457571e-05,0.00011237466863488961,0
1.0256387959726654e-05,9.859417399905864e-05,0
7.916170881162714e-06,7.445700005741395e-05,0
4.914088493095773e-06,5.9222141968437484e-05,0
3.6388439366776864e-06,3.6034282703692014e-05,0
2.578935418300554e-06,2.8212830372027876e-05,0
4.26037410758324e-06,6.113303791848787e-05,0
7.436812395840891e-06,8.32762543482702e-05,0
7.458392939678416e-06,7.174407543460611e-05,0
6.187718892649647e-06,5.677095472845122e-05,0
5.756810675508541e-06,5.916785401781949e-05,0
6.442299774386112e-06,8.080449365629478e-05,0
5.433837011304937e-06,7.113201093280312e-05,0
2.9120997491758752e-06,4.1001821801430186e-05,0
7.094667050097065e-06,9.447836456473793e-05,1
1.2246372911337077e-05,0.00016014554072099976,1
